  sources.cfg#soundSN                no proof found (calls=116)
  sources.cfg#bc_aux                 no proof found (calls=267)
  sources.cfg#backwards_closure      no proof found (calls=622)
  sources.cfg#red_var                no proof found (calls=120)
  sources.cfg#fundVar                no proof found (calls=248)
  sources.cfg#rename_red             no proof found (calls=258)
  sources.cfg#id_red                 no proof found (calls=71)
  sources.cfg#fundamental_lemma      no proof found (calls=258)
  sources.cfg#norm                   no proof found (calls=526)
  sources.cfg#mstep_abs              no proof found (calls=271)
  sources.cfg#mstep_match            no proof found (calls=152)
  sources.cfg#mstep_matchl           no proof found (calls=152)
  sources.cfg#subst_mred             no proof found (calls=163)
  sources.cfg#mstep_matchr           no proof found (calls=152)
  sources.cfg#varSn                  no proof found (calls=83)
  sources.cfg#mstep_sn               no proof found (calls=1097)
  sources.cfg#abs_sn                 no proof found (calls=188)
  sources.cfg#case_snb               no proof found (calls=169)
  sources.cfg#case_snc               no proof found (calls=169)
  sources.cfg#case_sna               no proof found (calls=169)
  sources.cfg#neu_step               no proof found (calls=374)
  sources.cfg#app_abs_sn             no proof found (calls=188)
  sources.cfg#app_sn                 no proof found (calls=188)
  sources.cfg#match_sn               no proof found (calls=163)
  sources.cfg#casel_sn               no proof found (calls=163)
  sources.cfg#caser_sn               no proof found (calls=163)
  sources.cfg#confluence             no proof found (calls=152)
  sources.cfg#bc_aux_app             no proof found (calls=188)
  sources.cfg#neutralSNe             no proof found (calls=169)
  sources.cfg#bc_aux_sum             no proof found (calls=152)
  sources.cfg#soundSN                no proof found (calls=160)
  sources.cfg#anti_renameSNe         no proof found (calls=257)
  sources.cfg#renameSN               no proof found (calls=87)
  sources.cfg#rename_red             no proof found (calls=87)
  sources.cfg#backwards_closure      no proof found (calls=759)
  sources.cfg#red_var                no proof found (calls=91)
  sources.cfg#fundVar                no proof found (calls=172)
  sources.cfg#id_red                 no proof found (calls=36)
  sources.cfg#fundamental_lemma      no proof found (calls=87)
  sources.cfg#norm                   no proof found (calls=166)
  sources.cfg#det                    no proof found (calls=62)
  sources.cfg#terminate               1291 calls  109 chars  -> FAIL   File "input.bel", line 168, column 29 Error: Type-checking error.
  sources.cfg#cr1                    no proof found (calls=191)
  sources.cfg#terminate              no proof found (calls=422)
  sources.cfg#det                    no proof found (calls=153)
  sources.cfg#unique                 no proof found (calls=355)
  sources.cfg#vself                  no proof found (calls=100)
  sources.cfg#lemma_val              no proof found (calls=495)
  sources.cfg#unique                 no proof found (calls=911)
  sources.cfg#big_to_small           no proof found (calls=697)
  sources.cfg#pred_lemma             no proof found (calls=6042)
  sources.cfg#succ_lemma             no proof found (calls=4614)
  sources.cfg#iszero_lemma           no proof found (calls=?)
  sources.cfg#det                    no proof found (calls=120)
  sources.cfg#switch_lemma           no proof found (calls=3111)
  sources.cfg#values_mstep_to_themselves no proof found (calls=4681)
  sources.cfg#small_to_big           no proof found (calls=5291)
  sources.cfg#lemma_val              no proof found (calls=399)
  sources.cfg#mstep_leq_v            no proof found (calls=2111)
  sources.cfg#terminate               1061 calls  109 chars  -> FAIL   File "input.bel", line 370, column 29 Error: Type-checking error.
  alternate.bel#deterministic        no proof found (calls=undefined)
  par-cr-crec-1.bel#subst            no proof found (calls=undefined)
  par-cr-crec-1.bel#dia              no proof found (calls=undefined)
  par-cr-crec-1.bel#strip_lemma      no proof found (calls=undefined)
  par-cr-crec-1.bel#conf             no proof found (calls=undefined)
  sources.cfg#unique                 no proof found (calls=791)
  par-cr-crec-1.bel#cr               no proof found (calls=undefined)
  howe-total.bel#sim_refl            no proof found (calls=7)
  howe-total.bel#sim_trans           no proof found (calls=33)
  howe-total.bel#sim_osim            no proof found (calls=51)
  howe-total.bel#osim_refl           no proof found (calls=5)
  howe-total.bel#osim_cus            no proof found (calls=112)
  howe-total.bel#osim_trans          no proof found (calls=30)
  howe-total.bel#howe_refl           no proof found (calls=60)
  howe-total.bel#howe_subst_refl     no proof found (calls=212)
  howe-total.bel#howe_ren            no proof found (calls=232)
  howe-total.bel#osim_howe           no proof found (calls=51)
  howe-total.bel#howe_subst_wkn      no proof found (calls=84)
  howe-total.bel#howe_osim_trans     no proof found (calls=372)
  howe-total.bel#howe_ev_abs         no proof found (calls=151)
  howe-total.bel#howe_subst_var      no proof found (calls=333)
  sources.cfg#tps                    no proof found (calls=3162)
  howe-total.bel#howe_ev_unit        no proof found (calls=173)
  howe-total.bel#abs_sim_trans       no proof found (calls=105)
  howe-total.bel#sim_lam             no proof found (calls=302)
  howe-total.bel#howe_ev_nil         no proof found (calls=173)
  howe-total.bel#ev_sim'             no proof found (calls=1078)
  howe-total.bel#howe_subst          no proof found (calls=137)
  howe-total.bel#fix_sim             no proof found (calls=112)
  howe-total.bel#howe_ev_cons        no proof found (calls=147)
  howe-total.bel#case_nil_sim        no proof found (calls=557)
  howe-total.bel#ev_sim              no proof found (calls=401)
  howe-total.bel#howe_sim            no proof found (calls=542)
  howe-total.bel#howe_osim           no proof found (calls=599)
  howe-total.bel#case_cons_sim       no proof found (calls=132)
  howe-total.bel#ev_det              no proof found (calls=456)
  howe-total.bel#sim_cong_app        no proof found (calls=145)
  howe-total.bel#sim_lemma2          no proof found (calls=51)
  howe-total.bel#sim_lemma1          no proof found (calls=300)
  howe-total.bel#sim_two_succ_one    no proof found (calls=18)
  howe.bel#sim_refl                  no proof found (calls=8)
  howe.bel#sim_trans                 no proof found (calls=38)
  howe.bel#sim_osim                  no proof found (calls=58)
  howe.bel#osim_refl                 no proof found (calls=5)
  howe.bel#osim_trans                no proof found (calls=30)
  howe.bel#osim_cus                  no proof found (calls=112)
  howe-total.bel#down_closed         no proof found (calls=1269)
  howe.bel#howe_refl                 no proof found (calls=60)
  howe.bel#osim_howe                 no proof found (calls=51)
  howe-total.bel#ev1                 no proof found (calls=116)
  howe.bel#howe_subst_refl           no proof found (calls=212)
  howe-total.bel#howe_cong_app       no proof found (calls=611)
  howe.bel#howe_subst_wkn            no proof found (calls=84)
  howe.bel#howe_osim_trans           no proof found (calls=372)
  howe.bel#howe_subst_var            no proof found (calls=333)
  howe.bel#howe_ev_abs               no proof found (calls=151)
  howe.bel#howe_ren                  no proof found (calls=232)
  howe.bel#howe_ev_unit              no proof found (calls=173)
  howe.bel#abs_sim_trans             no proof found (calls=105)
  howe.bel#sim_lam                   no proof found (calls=314)
  howe.bel#sim_cons                  no proof found (calls=173)
  howe.bel#howe_ev_nil               no proof found (calls=173)
  howe.bel#ev_sim'                   no proof found (calls=1118)
  howe.bel#ev_sim                    no proof found (calls=425)
  howe.bel#fix_sim                   no proof found (calls=124)
  howe.bel#case_nil_sim              no proof found (calls=572)
  howe.bel#ev_det                    no proof found (calls=456)
  howe.bel#howe_subst                no proof found (calls=137)
  howe.bel#case_cons_sim             no proof found (calls=144)
  howe.bel#howe_sim                  no proof found (calls=311)
  howe.bel#ev_sim_cons               no proof found (calls=415)
  howe.bel#howe_osim                 no proof found (calls=599)
  howe.bel#howe_ev_cons              no proof found (calls=147)
  howe.bel#sim_cong_app              no proof found (calls=173)
  howe.bel#sim_lemma2                no proof found (calls=60)
  howe.bel#sim_lemma1                no proof found (calls=311)
  howe.bel#sim_two_succ_one          no proof found (calls=21)
  tofte-hoas.bel#unfold              no proof found (calls=41)
  tofte-hoas.bel#lookup              no proof found (calls=29)
  tofte-hoas.bel#eval                no proof found (calls=29)
  complete-1.bel#append              no proof found (calls=undefined)
  complete-1.bel#subcomp             no proof found (calls=undefined)
  cc.bel#str                         no proof found (calls=37)
  cc.bel#strengthen                  no proof found (calls=?)
  cc.bel#weaken                      no proof found (calls=35)
  cc.bel#extend                         11 calls  55 chars  -> FAIL   File "input.bel", line 97, column 32 Error: This free context variable is illegal.
  cc.bel#lookup                      no proof found (calls=?)
  howe.bel#down_closed               no proof found (calls=1269)
  cc.bel#extendEnv                   no proof found (calls=97)
  howe.bel#ev1                       no proof found (calls=116)
  cc.bel#reify                       no proof found (calls=17)
